"id","title","author_full","publisher_name","publisher_code","isbn13","page_count","weight","size","publication_date","category_major","category_field","category_subfield","price_original","price_sale","currency","availability","item_condition","rating_value","rating_scale","rating_normalized","review_count"
"3675070","이해하는 물리학 1","KAREN CUMMINGS 저","지코사이언스",NA,NA,"715",NA,NA,"2009년 02월 27일","자연과학계열","물리학","3675070.html",20000,20000,"KRW","OutOfStock","Used",0,10,0,NA
"3675071","이해하는 물리학 2","KAREN CUMMINGS 저/김중복 역","지코사이언스",NA,NA,"237",NA,NA,"2009년 09월 09일","자연과학계열","물리학","3675071.html",20000,20000,"KRW","OutOfStock","Used",0,10,0,NA
"3676287","유체역학 FLUID MECHANICS","Andreas Alexandrau 저/윤순헌 등역","895550702X",NA,NA,"744",NA,"188*254*40mm","2002년 08월 01일","자연과학계열","물리학","3676287.html",32000,32000,"KRW","OutOfStock","Used",0,10,0,NA
"36827699","SI 재료역학","JAMES M. GERE,BARRY J. GOODNO 공저/김옥환,김이두,김희중 등역","8962184095",NA,NA,"998",NA,"216*277mm","2017년 02월 16일","자연과학계열","물리학","36827699.html",43000,43000,"KRW","InStock","Used",0,10,0,NA
"3689296","물리학의 이해","W. THOMAS GRIFFITH 저/조영석 역","895526612X",NA,NA,"632",NA,"188*254*35mm","2010년 03월 05일","자연과학계열","물리학","3689296.html",26000,26000,"KRW","InStock","Used",0,10,0,NA
"36954717","동역학","J. L. Meriam,L. G. Kraige,J. N. Bolton 공저/강연준,김찬묵 등역","시그마프레스",NA,"9791162263280","736",NA,"210*297*32mm","2017년 02월 28일","자연과학계열","물리학","36954717.html",38000,38000,"KRW","InStock","Used",8,10,0,NA
"3696565","수리 물리학","강주상 저","휴먼싸이언스",NA,NA,"406",NA,"188*254*30mm","2009년 10월 08일","자연과학계열","물리학","3696565.html",25000,25000,"KRW","OutOfStock","Used",0,10,0,NA
"36976325","응용역학","민인기,송승호,이종헌 공저","동화기술",NA,NA,"312",NA,"190*260mm","2015년 03월 10일","자연과학계열","물리학","36976325.html",15000,15000,"KRW","OutOfStock","Used",0,10,0,NA
"37003948","방사선 물리학의 세계","옥치일 저","북스힐",NA,"9791159710599","235",NA,"187*256mm","2017년 02월 20일","자연과학계열","물리학","37003948.html",20000,20000,"KRW","OutOfStock","Used",0,10,0,NA
"37003950","재료역학","JAMES M. GERE,BARRY J.GOODNO 공저/안득만 등역","8962183978",NA,NA,"126",NA,"216*276mm","2017년 03월 02일","자연과학계열","물리학","37003950.html",49000,49000,"KRW","OutOfStock","Used",9,10,0,NA
"37007452","대학 물리","김동필 저","893360829X",NA,NA,"444",NA,"188*257mm","2011년 01월 10일","자연과학계열","물리학","37007452.html",18000,18000,"KRW","OutOfStock","Used",0,10,0,NA
"37009801","동역학","FERDINAND P. BEER  저/유홍희 등역","경문사",NA,"9791132100997","758",NA,"214*260mm","2017년 03월 06일","자연과학계열","물리학","37009801.html",32000,32000,"KRW","InStock","Used",0,10,0,NA
"371269","대학 물리학 연습","대학물리교재편찬위원회","북스힐",NA,NA,"560",NA,NA,"2003년 04월 25일","자연과학계열","물리학","371269.html",17000,16150,"KRW","InStock","Used",0,10,0,NA
"37129487","White의 유체역학","Frank M. White 저/유정열 등역","1132101018",NA,"9791132101017","886",NA,"216*261mm","2017년 01월 06일","자연과학계열","물리학","37129487.html",37000,37000,"KRW","InStock","Used",9.6,10,0,NA
"37129509","BEER의 재료역학","Ferdinand P. Beer 저/백태현 등역","1132101182",NA,"9791132101185","837",NA,"225*272mm","2017년 01월 06일","자연과학계열","물리학","37129509.html",38000,38000,"KRW","InStock","Used",9.7,10,0,NA
