"id","title","author_full","publisher_name","publisher_code","isbn13","page_count","weight","size","publication_date","category_major","category_field","category_subfield","price_original","price_sale","currency","availability","item_condition","rating_value","rating_scale","rating_normalized","review_count"
"11730087","풀어보고 엮어보는 거제 방언 사투리","김용호 저","한국문화사",NA,"9791166856068","310",NA,"153*225mm","2013년 12월 15일","어문학계열","어문학계열","국문학",15000,15000,"KRW","OutOfStock","Used",0,10,0,NA
"117324","조선조 도가의 시문학 연구","손찬식","898546583X",NA,NA,"368",NA,NA,"1995년 11월 30일","어문학계열","어문학계열","국문학",15000,15000,"KRW","InStock","Used",0,10,0,NA
"117339","사대부 시가의 연구","신영명","국학자료원",NA,NA,"371",NA,NA,"1996년 11월 30일","어문학계열","어문학계열","국문학",15000,14250,"KRW","OutOfStock","Used",0,10,0,NA
"117345","한국 사부의 이해","김성수 저","국학자료원",NA,NA,"390",NA,NA,"1996년 01월 31일","어문학계열","어문학계열","국문학",15000,14250,"KRW","OutOfStock","Used",0,10,0,NA
"117361","고소설 연구 1","박용식 등저",NA,NA,NA,"534",NA,"148*210*35mm","1995년 12월 31일","어문학계열","어문학계열","국문학",13000,12350,"KRW","OutOfStock","Used",0,10,0,NA
"117371","고소설 연구 2","소재영 등저",NA,NA,NA,"234",NA,"148*210*20mm","1997년 01월 31일","어문학계열","어문학계열","국문학",15000,14250,"KRW","OutOfStock","Used",0,10,0,NA
"117382","고소설 연구 3","소재영 등저",NA,NA,NA,"450",NA,"148*210*30mm","1997년 09월 30일","어문학계열","어문학계열","국문학",13000,11700,"KRW","OutOfStock","Used",0,10,0,NA
"117389242","한국어 표준 문법","유현경,한재영,김홍범,이정택,김성규,강현화,구본관,이병규,황화상,이진호 공저","집문당",NA,NA,"730",NA,"176*248*40mm","2023년 02월 20일","어문학계열","어문학계열","국문학",40000,40000,"KRW","OutOfStock","Used",10,10,0,NA
"117397","고소설 연구 4","김현룡 등저","국학자료원",NA,NA,"408",NA,NA,"1998년 02월 28일","어문학계열","어문학계열","국문학",15000,14250,"KRW","OutOfStock","Used",0,10,0,NA
"117405","고소설 연구 5","소재영 등저","국학자료원",NA,NA,"496",NA,"148*210*30mm","1998년 06월 30일","어문학계열","어문학계열","국문학",20000,19000,"KRW","OutOfStock","Used",0,10,0,NA
"11741892","국어학개론","신승용,이정훈,오경숙 공저","태학사",NA,NA,"364",NA,"160*230*30mm","2013년 12월 17일","어문학계열","어문학계열","국문학",18000,18000,"KRW","OutOfStock","Used",10,10,0,NA
"117427","고소설 연구 6","김용순 등저","국학자료원",NA,NA,"474",NA,"148*210*30mm","1998년 12월 31일","어문학계열","어문학계열","국문학",20000,19000,"KRW","OutOfStock","Used",0,10,0,NA
"117448726","연변 지역어의 접미파생법 연구","이춘영 저","신구문화사",NA,NA,"304",NA,"152*224*15mm","2022년 12월 30일","어문학계열","어문학계열","국문학",20000,20000,"KRW","OutOfStock","Used",0,10,0,NA
"117454","고시조주석사전","박용식,황충기 공편","국학자료원",NA,NA,"718",NA,"148*210*40mm","1999년 09월 01일","어문학계열","어문학계열","국문학",35000,33250,"KRW","OutOfStock","Used",0,10,0,NA
"117466574","고전자료의 이해와 조직","권용인 편저","115852384X",NA,"9791158523848","316",NA,"188*257*15mm","2023년 02월 28일","어문학계열","어문학계열","국문학",20000,20000,"KRW","OutOfStock","Used",10,10,0,NA
"117478","조선후기 시화사 연구","안대회","국학자료원",NA,NA,"268",NA,NA,"1995년 05월 31일","어문학계열","어문학계열","국문학",7000,6300,"KRW","InStock","Used",0,10,0,NA
"117484","한국 민간문학 개설","김선풍 등저",NA,NA,NA,"372",NA,NA,"1992년 08월 31일","어문학계열","어문학계열","국문학",7500,7500,"KRW","OutOfStock","Used",0,10,0,NA
